BusId,MaxSpeed,ComprPressure,Blacking,Torque,SummerCons,WinterCons,OilCons,HorsePower
b01,90,2,49,477,21,25,1,138
b02,85,2,52,460,21,25,1,130
b03,72,2,73,425,23,27,2,112
b04,88,2,50,480,21,24,1,140
b05,60,1,95,400,23,24,4,96
b06,78,2,63,448,21,26,1,120
b07,90,2,26,482,22,24,0,148
b08,65,2,67,402,22,23,2,103
b09,90,2,51,468,22,26,1,138
b10,76,2,65,428,27,33,2,116
b11,85,2,50,454,21,26,1,129
b12,85,2,58,450,22,25,1,126
b13,88,2,48,458,22,25,1,130
b14,75,2,64,432,22,25,1,114
b15,68,2,70,400,22,26,2,100
b16,88,2,44,478,21,25,0,138
b17,85,2,55,445,23,26,1,120
b18,90,2,40,480,22,25,0,139
b19,72,2,64,428,21,25,2,111
b20,75,2,60,440,22,26,1,120
b21,85,2,61,458,21,25,1,126
b22,68,2,88,422,22,25,3,108
b23,82,2,65,430,23,25,2,115
b24,90,2,38,482,20,24,0,146
b25,90,2,45,479,21,25,1,145
b26,90,2,34,486,21,25,0,148
b27,86,2,60,444,22,25,1,122
b28,88,2,50,475,22,25,1,142
b29,85,2,63,440,21,26,2,120
b30,72,2,85,420,22,25,3,110
b31,65,2,94,400,24,27,4,98
b32,87,2,60,460,22,25,1,131
